,SATimputed,HSGimputed
615,730.0,4.0
616,770.0,1.0
617,800.0,1.0
618,780.0,2.0
619,680.0,2.0
620,600.0,2.0
621,640.0,2.0
622,770.0,1.0
623,740.0,1.0
624,800.0,1.0
625,720.0,3.0
626,780.0,1.0
627,770.0,1.0
628,800.0,1.0
629,750.0,1.0
630,780.0,2.0
631,760.0,1.0
632,748.0,3.0
633,770.0,2.0
634,790.0,1.0
635,690.0,2.0
636,780.0,1.0
637,740.0,3.0
638,710.0,2.0
639,730.0,2.0
640,780.0,2.0
641,710.0,2.0
642,650.0,3.0
643,690.0,2.0
644,800.0,1.0
645,800.0,1.0
646,740.0,2.0
647,800.0,1.0
648,760.0,2.0
649,780.0,2.0
650,660.0,2.0
651,800.0,1.0
652,780.0,1.0
653,740.0,2.0
654,730.0,1.0
655,670.0,2.0
656,670.0,2.0
657,620.0,2.0
658,750.0,2.0
659,680.0,2.0
660,800.0,1.0
661,680.0,2.0
662,710.0,2.0
663,800.0,2.0
664,780.0,2.0
665,800.0,1.0
666,760.0,2.0
667,640.0,2.0
668,714.0,3.0
669,700.0,2.0
670,740.0,1.0
671,710.0,2.0
672,720.0,2.0
673,760.0,2.0
674,760.0,1.0
675,690.0,3.0
676,720.0,2.0
677,800.0,2.0
678,800.0,1.0
679,800.0,1.0
680,778.0,1.0
681,711.0,2.0
682,754.0,3.0
683,788.0,1.0
684,730.0,1.0
685,745.0,1.0
686,736.0,1.0
687,743.0,2.0
688,769.0,1.0
689,776.0,1.0
690,768.0,1.0
691,760.0,1.0
692,741.0,1.0
693,747.0,1.0
694,739.0,1.0
695,770.0,1.0
696,725.0,2.0
697,742.0,3.0
698,757.0,1.0
699,758.0,1.0
700,775.0,1.0
701,800.0,1.0
702,751.0,1.0
703,755.0,1.0
704,744.0,1.0
705,710.0,1.0
706,780.0,1.0
707,785.0,1.0
708,772.0,1.0
709,757.0,1.0
710,740.0,1.0
711,780.0,1.0
712,730.0,2.0
713,763.0,1.0
714,703.0,2.0
715,716.0,2.0
716,757.0,1.0
717,761.0,1.0
718,729.0,1.0
719,717.0,1.0
720,762.0,2.0
721,752.0,2.0
722,768.0,1.0
723,760.0,1.0
724,800.0,1.0
725,746.0,1.0
726,759.0,1.0
727,720.0,2.0
